SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,4129 Shirley Ave,El Monte,CA,91731,18500,1,1.0,,1152,7018,1940,,16,,,,,http://www.redfin.com/CA/El-Monte/4129-Shirley-Ave-91731/home/8003362,,,N,Y,34.0817599,-118.0507932
PAST SALE,,Single Family Residential,4875 Robinhood Ave,Temple City,CA,91780,215000,3,2.0,,1501,6627,1957,,143,,,,,http://www.redfin.com/CA/Temple-City/4875-Robinhood-Ave-91780/home/8006107,,,N,Y,34.0925279,-118.0481711
PAST SALE,,Single Family Residential,2236 Parkway Dr,El Monte,CA,91732,20500,2,2.0,,1272,9680,1953,,16,,,,,http://www.redfin.com/CA/El-Monte/2236-Parkway-Dr-91732/home/7797643,,,N,Y,34.0442924,-118.0203317
PAST SALE,,Single Family Residential,2435 Parkway Dr,El Monte,CA,91732,140000,3,1.0,,1060,8190,1957,,132,,,,,http://www.redfin.com/CA/El-Monte/2435-Parkway-Dr-91732/home/7797234,,,N,Y,34.0474128,-118.0179345
PAST SALE,,Single Family Residential,2357 Parkway Dr,El Monte,CA,91732,160000,3,2.0,,1156,5447,1961,,138,,,,,http://www.redfin.com/CA/El-Monte/2357-Parkway-Dr-91732/home/7797599,,,N,Y,34.0460744,-118.0193851
PAST SALE,,Single Family Residential,12036 Clora Pl,El Monte,CA,91732,275000,2,1.0,,1075,9434,1936,,256,,,,,http://www.redfin.com/CA/El-Monte/12036-Clora-Pl-91732/home/7996772,,,N,Y,34.0646224,-118.0167158
PAST SALE,,Single Family Residential,11054 Mc Girk Ave,El Monte,CA,91731,59000,3,2.0,,1156,3166,1961,,51,,,,,http://www.redfin.com/CA/El-Monte/11054-Mc-Girk-Ave-91731/home/7998791,,,N,Y,34.085437,-118.027278
PAST SALE,,Single Family Residential,2241 Caminar Ave,El Monte,CA,91732,78000,3,1.0,,1153,5012,1946,,68,,,,,http://www.redfin.com/CA/El-Monte/2241-Caminar-Ave-91732/home/7797422,,,N,Y,34.0477425,-118.0240786
PAST SALE,,Multi-Family (2-4 Unit),2331 Bryce Rd,El Monte,CA,91732,103000,3,2.0,,1260,3981,1961,,82,,,,,http://www.redfin.com/CA/El-Monte/2331-Bryce-Rd-91732/home/7797464,,,N,Y,34.0485789,-118.022237
PAST SALE,June-4-2010,Single Family Residential,2657 Havenpark Ave,El Monte,CA,91733,352000,3,1.0,619 - El Monte,1143,6527,1955,2613,308,,Sold,,,http://www.redfin.com/CA/El-Monte/2657-Havenpark-Ave-91733/home/7795116,CRMLS,A10025313,N,Y,34.060687,-118.0481441
PAST SALE,,Single Family Residential,11026 Emery St,El Monte,CA,91731,35000,3,2.0,,1274,7516,1960,,27,,,,,http://www.redfin.com/CA/El-Monte/11026-Emery-St-91731/home/7999017,,,N,Y,34.0871252,-118.0269946
PAST SALE,May-3-2011,Townhouse,10019 LOWER AZUSA Rd,Temple City,CA,91780,395000,3,3.0,661 - Temple City,1406,,1999,2280,281,120,Sold,,,http://www.redfin.com/CA/Temple-City/10019-Lower-Azusa-Rd-91780/home/8104380,i-Tech MLS,22147033,N,Y,34.0910429,-118.048092
PAST SALE,,Single Family Residential,4614 Cedar Ave,El Monte,CA,91732,192000,3,2.0,,1444,8066,1925,,133,,,,,http://www.redfin.com/CA/El-Monte/4614-Cedar-Ave-91732/home/7999403,,,N,Y,34.0892703,-118.0215302
PAST SALE,,Single Family Residential,10808 Grand Ave,Temple City,CA,91780,42500,2,2.0,,981,5890,1956,,43,,,,,http://www.redfin.com/CA/Temple-City/10808-Grand-Ave-91780/home/8002002,,,N,Y,34.09626,-118.0329889
PAST SALE,,Condo/Co-op,4930 Peck Rd Apt 8,El Monte,CA,91732,262000,3,3.0,,1288,,1981,,203,,,,,http://www.redfin.com/CA/El-Monte/4930-Peck-Rd-91732/unit-8/home/7985185,,,N,Y,34.0931708,-118.0130216
PAST SALE,,Single Family Residential,5127 Buffington Rd,El Monte,CA,91732,166000,2,1.0,,894,13720,1941,,186,,,,,http://www.redfin.com/CA/El-Monte/5127-Buffington-Rd-91732/home/7980124,,,N,Y,34.0946718,-118.0083402
PAST SALE,,Single Family Residential,5304 Buffington Rd,El Monte,CA,91732,135000,3,2.0,,1462,6303,1962,,92,,,,,http://www.redfin.com/CA/El-Monte/5304-Buffington-Rd-91732/home/7980263,,,N,Y,34.09672,-118.0066965
